Rec_Session_Id,Trial_Nr,Trial_Id,Block_Name,Block_Nr,Task_Name,Task_Nr,age,audiofile,Condition_Id,copy_of_factor1_tg1_task3_2585,copy_of_factor1_tg1_task3_75eb,ease,edu,factor1_tg1_task3,imphear,interest,L1,notes,prep,prolific,q1,q2,q3,self,test
736437,1,1,sil,1,instructions,1,"","",1,"","","","","","","","","","",60aa79fa99f7d53701b02256,"","","","",""
736437,1,3,sil,1,silence,2,"",engl310_13_synth_sil.wav,3,engl310_13_synth_sil,"","","","","","","","","","",1,4,"","",""
736437,2,4,sil,1,silence,2,"",engl310_24_synth_sil.wav,4,engl310_24_synth_sil,"","","","","","","","","","",2,3,"","",""
736437,3,1,sil,1,silence,2,"",engl310_01_synth_sil.wav,1,engl310_01_synth_sil,"","","","","","","","","","",3,1,"","",""
736437,4,2,sil,1,silence,2,"",engl310_07_synth_sil.wav,2,engl310_07_synth_sil,"","","","","","","","","","",4,2,"","",""
736437,1,1,sil,1,questionnaire,3,27,"",1,"","",4,hs,"",no,3,eng,no,3,"","","","",int,none
736437,1,1,sil,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
736438,1,1,sil_cg,1,instructions_computergen,1,"","",1,"","","","","","","","","","",5e7504564414f906de6ce6df,"","","","",""
736438,1,2,sil_cg,1,silence,2,"",engl310_07_synth_sil.wav,2,engl310_07_synth_sil,"","","","","","","","","","",4,4,"","",""
736438,2,3,sil_cg,1,silence,2,"",engl310_13_synth_sil.wav,3,engl310_13_synth_sil,"","","","","","","","","","",2,4,"","",""
736438,3,1,sil_cg,1,silence,2,"",engl310_01_synth_sil.wav,1,engl310_01_synth_sil,"","","","","","","","","","",1,3,"","",""
736438,4,4,sil_cg,1,silence,2,"",engl310_24_synth_sil.wav,4,engl310_24_synth_sil,"","","","","","","","","","",3,1,"","",""
736438,1,1,sil_cg,1,questionnaire,3,43,"",1,"","",1,hs,"",no,1,eng,no,4,"","","","",adv,none
736438,1,1,sil_cg,1,congratulations,4,"","",1,"","","","","","","","","","","","","","","",""
