"file","segment","start","end","dur","filedur","mean_intensity","condition"
"engl310_01_original","o",160.907,160.984,0.077,169.26,65.753,"orig"
"engl310_01_original","sil",162.441,162.751,0.31,169.26,48.412,"orig"
"engl310_01_original","in",162.751,163.071,0.32,169.26,60.814,"orig"
"engl310_01_original","sil",163.071,163.122,0.051,169.26,48.342,"orig"
"engl310_01_original","sil",163.698,164.162,0.464,169.26,45.096,"orig"
"engl310_01_original","sil",165.939,165.977,0.039,169.26,53.502,"orig"
"engl310_01_original","in",165.977,166.227,0.25,169.26,61.105,"orig"
"engl310_01_original","sil",166.227,166.269,0.042,169.26,48.693,"orig"
"engl310_01_original","sil",169.079,169.26,0.181,169.26,44.428,"orig"
"engl310_01_synth_base","in",0.025,0.233,0.208,165.175,49.805,"synth"
"engl310_01_synth_base","sil",0.735,0.943,0.208,165.175,32.691,"synth"
"engl310_01_synth_base","sil",2.481,2.677,0.196,165.175,34.695,"synth"
"engl310_01_synth_base","sil",3.119,3.389,0.27,165.175,33.254,"synth"
"engl310_01_synth_base","in",4.782,5.103,0.321,165.175,48.658,"synth"
"engl310_01_synth_base","uh",5.103,5.551,0.448,165.175,76.339,"synth"
"engl310_01_synth_base","in",5.551,5.841,0.29,165.175,51.422,"synth"
"engl310_01_synth_base","sil",7.159,7.319,0.159,165.175,33.545,"synth"
"engl310_01_synth_base","in",7.999,8.287,0.287,165.175,54.125,"synth"
"engl310_01_synth_base","uh",8.287,8.683,0.396,165.175,83.859,"synth"
"engl310_01_synth_base","in",8.683,8.907,0.225,165.175,50.846,"synth"
"engl310_01_synth_base","in",11.197,11.436,0.239,165.175,51.199,"synth"
"engl310_01_synth_base","in",11.789,12.047,0.258,165.175,45.201,"synth"
"engl310_01_synth_base","uh",12.047,12.424,0.377,165.175,77.903,"synth"
"engl310_01_synth_base","in",12.424,12.67,0.246,165.175,43.849,"synth"
"engl310_01_synth_base","sil",14.192,14.328,0.135,165.175,32.977,"synth"
"engl310_01_synth_base","sil",15.921,16.02,0.099,165.175,29.801,"synth"
"engl310_01_synth_base","in",16.605,16.783,0.179,165.175,47.113,"synth"
"engl310_01_synth_base","in",18.511,18.854,0.343,165.175,39.509,"synth"
"engl310_01_synth_base","sil",18.854,18.965,0.111,165.175,27.672,"synth"
"engl310_01_synth_base","in",21.936,22.257,0.321,165.175,49.37,"synth"
"engl310_01_synth_base","uh",22.257,22.547,0.29,165.175,78.759,"synth"
"engl310_01_synth_base","sil",23.44,23.605,0.164,165.175,39.883,"synth"
"engl310_01_synth_base","in",25.903,26.103,0.2,165.175,35.811,"synth"
"engl310_01_synth_base","sil",26.103,26.258,0.155,165.175,24.792,"synth"
"engl310_01_synth_base","cl",26.258,26.408,0.15,165.175,42.464,"synth"
"engl310_01_synth_base","uh",26.408,26.76,0.353,165.175,73.456,"synth"
"engl310_01_synth_base","in",26.76,27.055,0.295,165.175,48.807,"synth"
"engl310_01_synth_base","sil",27.055,27.106,0.051,165.175,25.038,"synth"
"engl310_01_synth_base","sil",29.533,30.694,1.162,165.175,27.793,"synth"
"engl310_01_synth_base","cl",30.694,30.772,0.077,165.175,42.732,"synth"
"engl310_01_synth_base","in",30.772,30.974,0.203,165.175,37.959,"synth"
"engl310_01_synth_base","sil",30.974,31.013,0.039,165.175,30.87,"synth"
"engl310_01_synth_base","uh",32.583,32.893,0.309,165.175,78.807,"synth"
"engl310_01_synth_base","in",33.859,34.119,0.261,165.175,50.329,"synth"
"engl310_01_synth_base","uh",34.119,34.498,0.379,165.175,75.561,"synth"
"engl310_01_synth_base","in",35.266,35.479,0.213,165.175,44.267,"synth"
"engl310_01_synth_base","sil",35.479,35.542,0.063,165.175,30.891,"synth"
"engl310_01_synth_base","in",36.271,36.513,0.241,165.175,46.398,"synth"
"engl310_01_synth_base","uh",36.513,36.94,0.427,165.175,78.263,"synth"
"engl310_01_synth_base","in",36.94,37.203,0.263,165.175,41.529,"synth"
"engl310_01_synth_base","sil",37.908,38.019,0.111,165.175,36.455,"synth"
"engl310_01_synth_base","sil",38.753,39.277,0.524,165.175,36.39,"synth"
"engl310_01_synth_base","cl",39.277,39.375,0.098,165.175,50.584,"synth"
"engl310_01_synth_base","in",39.375,39.689,0.314,165.175,50.041,"synth"
"engl310_01_synth_base","uh",39.689,39.892,0.203,165.175,75.21,"synth"
"engl310_01_synth_base","in",45.771,45.923,0.152,165.175,27.248,"synth"
"engl310_01_synth_base","sil",45.923,46.07,0.147,165.175,17.619,"synth"
"engl310_01_synth_base","sil",47.193,47.258,0.065,165.175,23.957,"synth"
"engl310_01_synth_base","in",47.258,47.582,0.324,165.175,35.758,"synth"
"engl310_01_synth_base","uh",47.582,47.901,0.319,165.175,69.449,"synth"
"engl310_01_synth_base","in",47.901,48.048,0.147,165.175,36.887,"synth"
"engl310_01_synth_base","sil",48.048,48.109,0.06,165.175,23.803,"synth"
"engl310_01_synth_base","uh",51.279,51.559,0.28,165.175,77.115,"synth"
"engl310_01_synth_base","in",51.559,51.8,0.241,165.175,48.178,"synth"
"engl310_01_synth_base","sil",52.744,52.991,0.246,165.175,34.66,"synth"
"engl310_01_synth_base","sil",53.465,53.733,0.268,165.175,20.897,"synth"
"engl310_01_synth_base","in",55.095,55.325,0.229,165.175,44.683,"synth"
"engl310_01_synth_base","sil",56.882,56.986,0.104,165.175,42.3,"synth"
"engl310_01_synth_base","sil",57.995,58.191,0.196,165.175,26.604,"synth"
"engl310_01_synth_base","sil",58.86,59.843,0.983,165.175,29.366,"synth"
"engl310_01_synth_base","cl",59.843,59.92,0.077,165.175,45.695,"synth"
"engl310_01_synth_base","sil",59.92,59.978,0.058,165.175,24.339,"synth"
"engl310_01_synth_base","in",61.85,62.084,0.234,165.175,44.788,"synth"
"engl310_01_synth_base","uh",62.084,62.54,0.456,165.175,76.938,"synth"
"engl310_01_synth_base","sil",62.54,62.665,0.126,165.175,35.532,"synth"
"engl310_01_synth_base","sil",64.692,64.863,0.171,165.175,30.433,"synth"
"engl310_01_synth_base","in",65.26,65.432,0.171,165.175,37.14,"synth"
"engl310_01_synth_base","uh",65.432,65.695,0.263,165.175,78.078,"synth"
"engl310_01_synth_base","in",65.695,65.929,0.234,165.175,48.596,"synth"
"engl310_01_synth_base","sil",65.929,65.987,0.058,165.175,31.039,"synth"
"engl310_01_synth_base","uh",66.547,66.904,0.357,165.175,76.982,"synth"
