"id","condition","audiofile","age","ease","edu","imphear","interest","L1","notes","prep","self","test","question","answer","score","precede"
736484,"sil","engl310_01_synth_sil.wav",58,2,"uni","no",3,"eng","no",3,"int","none","q1",1,1,"no"
736484,"sil","engl310_07_synth_sil.wav",58,2,"uni","no",3,"eng","no",3,"int","none","q1",4,1,"no"
736489,"sil","engl310_07_synth_sil.wav",47,2,"other","no",3,"eng","no",1,"adv","none","q1",2,0,"no"
736489,"sil","engl310_24_synth_sil.wav",47,2,"other","no",3,"eng","no",1,"adv","none","q1",2,0,"yes"
736489,"sil","engl310_01_synth_sil.wav",47,2,"other","no",3,"eng","no",1,"adv","none","q1",1,1,"no"
736489,"sil","engl310_13_synth_sil.wav",47,2,"other","no",3,"eng","no",1,"adv","none","q1",1,1,"yes"
736494,"sil","engl310_07_synth_sil.wav",33,2,"hs","yes",3,"eng","no",5,"adv","none","q1",4,1,"no"
736494,"sil","engl310_13_synth_sil.wav",33,2,"hs","yes",3,"eng","no",5,"adv","none","q1",1,1,"yes"
736494,"sil","engl310_01_synth_sil.wav",33,2,"hs","yes",3,"eng","no",5,"adv","none","q1",1,1,"no"
736494,"sil","engl310_24_synth_sil.wav",33,2,"hs","yes",3,"eng","no",5,"adv","none","q1",2,0,"yes"
736495,"base_cg","engl310_01_synth_base.wav",27,2,"uni","no",2,"eng","no",2,"adv","none","q1",1,1,"no"
736495,"base_cg","engl310_13_synth_base.wav",27,2,"uni","no",2,"eng","no",2,"adv","none","q1",1,1,"yes"
736495,"base_cg","engl310_24_synth_base.wav",27,2,"uni","no",2,"eng","no",2,"adv","none","q1",3,1,"yes"
736495,"base_cg","engl310_07_synth_base.wav",27,2,"uni","no",2,"eng","no",2,"adv","none","q1",4,1,"no"
736498,"sil_cg","engl310_01_synth_sil.wav",34,3,"uni","no",5,"eng","no",5,"adv","none","q1",1,1,"no"
736498,"sil_cg","engl310_24_synth_sil.wav",34,3,"uni","no",5,"eng","no",5,"adv","none","q1",3,1,"yes"
736498,"sil_cg","engl310_13_synth_sil.wav",34,3,"uni","no",5,"eng","no",5,"adv","none","q1",1,1,"yes"
736498,"sil_cg","engl310_07_synth_sil.wav",34,3,"uni","no",5,"eng","no",5,"adv","none","q1",4,1,"no"
736500,"base","engl310_24_synth_base.wav",31,2,"hs","no",2,"eng","no",1,"adv","none","q1",1,0,"yes"
736500,"base","engl310_01_synth_base.wav",31,2,"hs","no",2,"eng","no",1,"adv","none","q1",1,1,"no"
736500,"base","engl310_13_synth_base.wav",31,2,"hs","no",2,"eng","no",1,"adv","none","q1",1,1,"yes"
736500,"base","engl310_07_synth_base.wav",31,2,"hs","no",2,"eng","no",1,"adv","none","q1",2,0,"no"
736502,"base","engl310_01_synth_base.wav",39,3,"uni","no",5,"eng","no",5,"adv","none","q1",1,1,"no"
736502,"base","engl310_07_synth_base.wav",39,3,"uni","no",5,"eng","no",5,"adv","none","q1",4,1,"no"
736502,"base","engl310_13_synth_base.wav",39,3,"uni","no",5,"eng","no",5,"adv","none","q1",1,1,"yes"
736502,"base","engl310_24_synth_base.wav",39,3,"uni","no",5,"eng","no",5,"adv","none","q1",3,1,"yes"
736506,"sil_cg","engl310_13_synth_sil.wav",34,1,"uni","no",2,"eng","no",1,"adv","none","q1",2,0,"yes"
736506,"sil_cg","engl310_24_synth_sil.wav",34,1,"uni","no",2,"eng","no",1,"adv","none","q1",1,0,"yes"
736506,"sil_cg","engl310_01_synth_sil.wav",34,1,"uni","no",2,"eng","no",1,"adv","none","q1",4,0,"no"
736506,"sil_cg","engl310_07_synth_sil.wav",34,1,"uni","no",2,"eng","no",1,"adv","none","q1",4,1,"no"
736526,"base_cg","engl310_01_synth_base.wav",36,1,"uni","no",3,"eng","no",2,"adv","none","q1",1,1,"no"
736526,"base_cg","engl310_07_synth_base.wav",36,1,"uni","no",3,"eng","no",2,"adv","none","q1",4,1,"no"
736526,"base_cg","engl310_24_synth_base.wav",36,1,"uni","no",3,"eng","no",2,"adv","none","q1",1,0,"yes"
